ID	Channel Name	Description	Channel Type	Gene Name	Gene ID in Wormbase	Proteins	
11	TWK-20	TWiK family of potassium channels	Potassium Channel; TWK	twk-20	WBGene00006673	TWK-20;	 View Detail Edit
12	CCA-1	"cca-1 encodes a calcium channel alpha subunit that is homologous to vertebrate T-type calcium channel alpha 1 subunits; CCA-1 is required for regulation of pharyngeal pumping, specifically for the efficient initiation of action potentials in the pharynx in response to excitatory inputs; a CCA-1::GFP fusion protein is expressed strongly in pharyngeal muscle as well as in many neurons, including particular subsets of neurons in the head, pharynx, ventral nerve cord, and anal ganglia."	"Calcium Channel; Voltage-gated, alpha1, LVA: T-type"	cca-1	WBGene00000367	"CCA-1, isoform a; CCA-1, isoform c; CCA-1, isoform d; CCA-1, isoform e; CCA-1, isoform g;"	 View Detail Edit Delete
13	DEG-1	"deg-1 encodes a putative ion channel for which altered function induces necrotic cell death of neurons required for mechanosensory behavior; expressed in the ASH, IL1, AVD, AVG, and PVC neurons in addition to some muscle cells."	DEG/ENaC Channels; Subgroup 2	deg-1	WBGene00000950	DEG-1;	 View Detail Edit Delete
14	TRP-1	"trp-1 encodes a transient receptor potential (TRP) channel that, along with TRP-2 and SPE-41, constitutes the three C. elegans members of the TRPC subfamily; trp-1, along with trp-2, control nicotine-dependent behavior; a TRP-1::GFP reporter fusion is expressed in motor neurons, interneurons, vulval and intestinal muscles, and the BAG sensory neuron."	Transient Receptor Potential Channel; TRPC	trp-1	WBGene00006614	"TRP-1, isoform a; TRP-1, isoform b;"	 View Detail Edit Delete
15	LGC-55	"lgc-55 encodes a tyramine-gated chloride channel; LGC-55 activity is required for backward locomotion and suppression of lateral head oscillations in response to anterior touch; LGC-55 is expressed and neurons and muscles that receive synaptic input from tyraminergic neurons, and localizes to the neuronal cell body and regions suggestive of postsynaptic specializations."	Ligand-Gated Ion Channel; Aminergic	lgc-55	WBGene00013746	LGC-55;	 View Detail Edit Delete
16	GLR-1	"glr-1 encodes an AMPA-type ionotropic glutamate receptor; GLR-1 activity is required for mediating the behavioral response to light nose touch and the frequency with which animals change locomotory direction in response to sensory cues such as food; GLR-1 is also required for memory formation; GLR-1 and GLR-2, a second AMPA-type ionotropic glutamate receptor, can interact to form functional heteromeric channels; GLR-1 is expressed in motorneurons and interneurons, including four of the five pairs of command interneurons that are required for locomotory control; in the ventral nerve cord and nerve ring, GLR-1 localizes to perinuclear structures in cell bodies and to punctate structures that appear to be glutamatergic postsynaptic specializations; proper GLR-1 localization in the anterior ventral nerve cord of older larvae and adults requires activity of the class I PDZ protein LIN-10; GLR-1 is ubiquitinated in vivo and its abundance at postsynaptic elements, which may influence postsynaptic strength, is regulated by ubiquitination; indeed, GLR-1 trafficking in interneurons has been shown to be regulated by the UEV-1 ubiquitin-conjugating enzyme variant and the UBC-13 ubiquitin-conjugating enzyme; GLR-1 dynamics are also regulated by the alpha-adducin, ADD-1, which may link actin cytoskeleton reorganization with synapse structure and composition."	Ionotropic Glutamate Receptors; AMPA	glr-1	WBGene00001612	GLR-1;	 View Detail Edit Delete
17	UNC-8	"unc-8 encodes an amiloride-sensitive DEG/ENaC cation-selective channel subunit orthologous to human ENaCB (OMIM:600760, associated with Liddle syndrome, an autosomal dominant form of hypertension); UNC-8 is predicted to function as part of a mechanically gated channel that responds to stretch, and is required for modulating the sinusoidal body wave that is characteristic of C. elegans locomotion; unc-8 interacts genetically with unc-1 and unc-24, which encode stomatin-like proteins, and with mec-6, which encodes a paraoxonase; UNC-8 is expressed in motor neurons, sensory neurons, and interneurons in the nerve ring; UNC-8 may form a channel with the degenerin DEL-1, with which it is coexpressed in ventral cord motor neurons."	DEG/ENaC Channels; 	unc-8	WBGene00006748	"UNC-8, isoform a; UNC-8, isoform d;"	 View Detail Edit Delete
18	AVR-14	"avr-14 encodes an alpha-type subunit of a glutamate-gated chloride channel homologous to human GLRA2, which when mutated leads to hyperekplexia (OMIM:149400); AVR-14 affects sensitivity to the antiparisitic drug, ivermectin, in parallel with avr-15 and glc-1 and in a genetic pathway with unc-9; it functions in the extrapharyngeal nervous system, and is expressed in a subset of neurons in the ring ganglia, ventral cord, and some mechanosensory neurons."	Ligand-Gated Ion Channel; GluCl	avr-14	WBGene00000232	"AVR-14, isoform a; AVR-14, isoform b; AVR-14, isoform c;"	 View Detail Edit Delete
19	EGL-2	"egl-2 encodes a voltage-gated potassium channel that is the C. elegans homolog of ether-a-go-go (EAG); egl-2 activity is required for egg laying, muscle activation, defecation, mechanosensation, and chemosensation; egl-2 is expressed in the intestinal muscle, AFD, ALN, AQR, ASE, AWC, BAG, IL2, PLN, PQR, and URX neurons as well as a subset of sensory neurons in the male tail; EGL-2 activity can be regulated by the UNC-43 calcium/calmodulin-dependent protein kinase II (CaMKII) with which it interacts physically."	Potassium Channel; Voltage-gated: Eag-like/Kv10-12	egl-2	WBGene00001171	EGL-2;	 View Detail Edit Delete
20	EXP-2	"exp-2 encodes a member of the six-transmembrane voltage-activated (Kv-type) family of potassium channels; exp-2 is required for normal pharyngeal muscle action potentials and hence, for normal feeding behavior; in addition, exp-2 is required for chemotaxis; when expressed in Xenopus oocytes, EXP-2 displays inward rectifying currents, however when assessed in endogenous pharyngeal tissue, EXP-2 displays hyperpolarization-activated outward currents; an EXP-2 translational reporter fusion is expressed strongly in pharyngeal muscles, amphid, phasmid, and head neurons, posterior enteric muscles, and occasionally faintly in the egg-laying muscles."	Potassium Channel; Voltage-gated: Shab/Kv2	exp-2	WBGene00001374	"EXP-2, isoform a; EXP-2, isoform b; EXP-2, isoform c; EXP-2, isoform d;"	 View Detail Edit Delete
21	GLC-3	"glc-3 encodes an L-glutamate-gated chloride channel subunit; GLC-3 is sensitive to fipronil and BIDN, but picrotoxinin-insensitive; GLC-3 is expressed in the AIY interneuron."	Ligand-Gated Ion Channel; GluCl	glc-3	WBGene00001593	GLC-3;	 View Detail Edit Delete
22	GLC-4	glc-4 encodes a predicted glutamate-gated chloride channel that affects ivermectin sensitivity and reversal behavior and genetically interacts with avr-14; expressed in neurons.	Ligand-Gated Ion Channel; GluCl	glc-4	WBGene00001594	GLC-4;	 View Detail Edit Delete
23	TAX-4	ax-4 encodes a a cyclic nucleotide-gated channel subunit orthologous to the human gene ROD PHOTORECEPTOR CGMP-GATED CHANNEL (CNGA1; OMIM:123825); tax-4 is required for chemosensation and thermosensation; a TAX-4::GFP fusion protein is expressed in sensory neurons where it localizes to the cilia.	Cyclic Nucleotide-Gated Channel; Beta subunit	tax-4	WBGene00006526	TAX-4;	 View Detail Edit Delete
24	ACC-4	Acetylcholine-gated Chloride Channel	Ligand-Gated Ion Channel; ACC	acc-4	WBGene00012099	ACC-4;	 View Detail Edit Delete
25	AVR-15	"avr-15 encodes, via alternative splicing, two glutamate-gated chloride channel subunit homologs; these proteins mediate fast inhibitory glutamatergic neuromuscular transmission, as well as ivermectin sensitivity, and are required for normal pharyngeal function."	Ligand-Gated Ion Channel; GluCl	avr-15	WBGene00000233	"AVR-15, isoform a; AVR-15, isoform b; AVR-15, isoform c;"	 View Detail Edit
26	KVS-1	"kvs-1 encodes a voltage-gated, A-type potassium channel; kvs-1 is required for the normal function of several neurons and thus for normal forward locomotion, chemotaxis to select molecules, osmotic avoidance, and nose-touch; when expressed in tissue culture cells, KVS-1 exhibits potassium-selective channel activity that is altered by coexpression with C. elegans MPS-1, -2, -3, and -4, KCNE-like ancillary subunits, or a related human protein, hMiRP1; in addition, KVS-1 forms a functional complex with MPS-1 in the ASER neuron and activity of MPS-2, MPS-3, and KVS-1 coexpressed in culture suggests that these three proteins can form a functional ternary complex that genetic analyses indicate likely plays a role in regulating responsiveness to sodium; kvs-1 reporter fusions are expressed in sperm, the anal depressor muscle, the PDA motoneuron, ventral cord neurons, and several chemosensory neurons."	Potassium Channel; Voltage-gated: Shab/Kv2	kvs-1	WBGene00002242	"KVS-1, isoform a; KVS-1, isoform b; KVS-1, isoform c;"	 View Detail Edit Delete
27	MOD-1	"mod-1 encodes a serotonin-gated chloride channel; contrary to published literature, MOD-1 activity is NOT required for the enhanced slowing response exhibited by food-deprived animals upon encountering a bacterial food source; subsequent studies have shown that mod-1 mutants (n3034, ok103, nr2043) do not exhibit reduced enhanced slowing and that the behavioral defect of the original isolate and mod-1 chloride channel mutation (n3034) are genetically separable; when expressed in voltage-clamped Xenopus oocytes, MOD-1 is able to form a serotonin-gated ion channel, and when expressed in human tissue culture cells, MOD-1 exhibits behavior consistent with chloride selectivity; a rescuing MOD-1::GFP construct is expressed in the cell bodies and axons (the latter presumably due to overexpression) of neurons in the head, tail, and ventral nerve cord."	Ligand-Gated Ion Channel; Aminergic	mod-1	WBGene00003386	"MOD-1, isoform a; MOD-1, isoform b; MOD-1, isoform c;"	 View Detail Edit Delete
28	CED-11	"The ced-11 gene encodes a predicted transmembrane ion channel related to the long transient receptor potential channel (LTRPC) subfamily of TRP channels found in Drosophila and mammals; CED-11 functions as a downstream effector in the programmed cell death pathway and may play a role in affecting the morphological changes seen in the nucleus, cytoplasm, and plasma membrane of apoptotic cells."	Transient Receptor Potential Channel; TRPM	ced-11	WBGene00000425	CED-11;	 View Detail Edit Delete
29	CLH-1	"clh-1 encodes two CLC-type chloride channels via alternative splicing, homologous to human CLC1 (OMIM:118425) and CLC2 (OMIM:600570); CLH-1a and CLH-1b are required for maintenance of normal body shape; null mutations of clh-1 cause abnormal alae and a wider body than normal, with the body phenotype being reversible by culture medium of high osmolarity."	Chloride Channel; CLC-type	clh-1	WBGene00000528	"CLH-1, isoform a; CLH-1, isoform b;"	 View Detail Edit Delete
30	CLH-3	The clh-3 gene encodes a chloride channel homologous to the mammalian channel ClC-2.	Chloride Channel; CLC-type	clh-3	WBGene00000530	"CLH-3, isoform a; CLH-3, isoform b;"	
31	CLH-4	A homolog of a mammalian CIC-type chloride channel that is uniquely expressed in adult worms.	Chloride Channel; CLC-type	clh-4	WBGene00000531	"CLH-4, isoform a; CLH-4, isoform b;"	 View Detail Edit Delete
32	CNG-1	Cyclic Nucleotide Gated channel	Cyclic Nucleotide-Gated Channel; Alpha/Beta subunit	cng-1	WBGene00000562	"CNG-1, isoform b;"	 View Detail Edit Delete
33	CNG-3	"cng-3 is predicted to encode a cyclic nucleotide gated (CNG) channel that is required for wild-type thermotolerance; cng-3 is expressed in five sensory neurons, including the thermosensory neuron AFD."	Cyclic Nucleotide-Gated Channel; Alpha/Beta subunit	cng-3	WBGene00000563	CNG-3;	
34	DEL-1	"del-1 encodes an ion channel protein of the DEG/ENaC (degenerin/epithelial Na+ channel) family; like other members of the degenerin family, DEL-1 is predicted to function as a sensory mechanotransduction channel, however detailed analysis of the DEL-1 mutant phenotype has not yet been reported; DEL-1 is expressed postembryonically in the VA and VB motor neurons and in the FLP sensory neurons; the DEL-1 expression pattern overlaps that of UNC-8, an additional C. elegans degenerin involved in movement control, with which DEL-1 may coassemble to form mechanically activated cation channels."	DEG/ENaC Channels; Subgroup 2	del-1	WBGene00000952	DEL-1;	 View Detail Edit Delete
35	EGL-36	"egl-36 encodes a Shaw-type voltage-gated potassium channel that regulates egg laying and defecation; expression of egl-36::gfp reporters is observed in several different cell types including muscle cells such as the uterine and vulval egg-laying muscles, sensory, motor and interneurons, and the distal tip cells of the gonad; when expressed in a heterologous system, EGL-36 exhibits channel activity."	Potassium Channel; Voltage-gated: Shaw/Kv3	egl-36	WBGene00001202	EGL-36;	 View Detail Edit Delete
36	FLR-1	"flr-1 encodes an ion channel that belongs to the DEG/ENaC sodium channel superfamily; flr-1 activity is essential for normal defecation rhythm, growth rates, expulsion, and dauer larvae formation; a rescuing FLR-1::GFP reporter is expressed in the intestine from embryonic to adult stages where it localizes to the membranes facing the inner lumen as well as to part of the lateral membrane between intestinal cells."	DEG/ENaC Channels; Subgroup 1	flr-1	WBGene00001465	FLR-1;	 View Detail Edit Delete
37	GGR-1	"ggr-1 encodes a predicted member of the GABA/ glycine receptor family of ligand-gated chloride channels that affects thermotaxis; expressed in AIB, PVR, PVQ, AVH, and SMDV neurons and in some motor neurons in the ventral cord, and in the egg-laying muscles."	Ligand-Gated Ion Channel; Diverse	ggr-1	WBGene00001586	GGR-1;	 View Detail Edit Delete
38	GLC-1		Ligand-Gated Ion Channel; GluCl	glc-1	WBGene00001591	GLC-1;	 View Detail Edit Delete
39	GLC-2	"glc-2 encodes the beta subunit of a glutamate-gated chloride channel; in vivo, GLC-2 is capable of forming homomeric glutamate-activated channels, as well as heteromeric channels with GLC-1 that can be activated by glutamate and avermectins, antihelmintics that inhibit pharyngeal pumping; as loss of glc-2 activity via large-scale RNAi screens does not result in any obvious abnormalities, the precise role of GLC-2 in development and/or behavior is not yet known; however, GLC-2 expression is generally restricted to the pm4 pharyngeal muscles of larvae and adults, suggesting a role for GLC-2 in regulation of glutamatergic inhibition of pharyngeal pumping."	Ligand-Gated Ion Channel; GluCl	glc-2	WBGene00001592	GLC-2;	 View Detail Edit Delete
40	GLR-2	"glr-2 encodes an AMPA (non-NMDA)-type ionotropic glutamate receptor subunit; GLR-2 activity is required for mediating the behavioral response to light nose touch and for regulating the frequency with which animals change locomotory direction in response to sensory cues such as food; GLR-2 and GLR-1, a second AMPA-type ionotropic glutamate receptor, can interact to form functional heteromeric channels; GLR-2 is expressed in many neurons, including four of the five pairs of command interneurons that are required for locomotory control."	Ionotropic Glutamate Receptors; AMPA	glr-2	WBGene00001613	"GLR-2, isoform a; GLR-2, isoform b;"	
41	GON-2	The gon-2 gene encodes a predicted transmembrane cation channel homologous to the long transient receptor potential channel (LTRPC) subfamily of TRP channels including Drosophila DLTRP and mammalian melastatin and LTRPC7; GON-2 regulates the onset and continuation of post-embryonic mitotic cell divisions in the somatic gonad precursor cells perhaps by mediating an increase in intracellular calcium in response to activating signals.	Transient Receptor Potential Channel; TRPM	gon-2	WBGene00001651	"GON-2, isoform a; GON-2, isoform b; GON-2, isoform c; GON-2, isoform d; GON-2, isoform e;"	 View Detail Edit Delete
42	GTL-1	gtl-1 encodes a TRPM subfamily member of the TRP channel family that affects the periodicity of the defecation cycle in combination with gon-2; expression includes the intestine.	Transient Receptor Potential Channel; TRPM	gtl-1	WBGene00001795	GTL-1;	 View Detail Edit Delete
43	IRK-1		Potassium Channel; Kir	irk-1	WBGene00002149	IRK-1;	 View Detail Edit Delete
44	IRK-3		Potassium Channel; Kir	irk-3	WBGene00002151	IRK-3;	 View Detail Edit Delete
45	KQT-1	"kqt-1 encodes one of three C. elegans KCNQ-like potassium channel subunits that, with respect to humans, is most similar to the KCNQ2-5 subfamily of channel proteins; although loss of KQT-1 activity via large-scale RNAi screens results in no obvious abnormalities, KQT-1 likely functions to regulate cellular excitability as expression of KQT-1 in Xenopus oocytes can produce K+ channel currents that functionally resemble vertebrate M-currents; activity of these KQT-1 channels can be suppressed by coexpression with the human M1 muscarinic receptor and treatment with diacylglycerol analogs; a KQT-1::GFP translational fusion is expressed in pharyngeal muscle cells, in the anterior and posterior mechanosensory neurons ALM and PLM, and in some head neurons."	Potassium Channel; KQT	kqt-1	WBGene00002233	"KQT-1, isoform a; KQT-1, isoform b;"	 View Detail Edit Delete
46	KQT-2	"kqt-2 encodes one of three C. elegans KCNQ-like potassium channel subunits for which mutations in humans are associated with heredity diseases that affect epithelial cells, cardiac muscle and neurons; a KQT-2::GFP fusion protein is expressed exclusively in the intestine."	Potassium Channel; KQT	kqt-2	WBGene00002234	KQT-2;	 View Detail Edit Delete
47	KQT-3	"kqt-3 encodes one of three C. elegans KCNQ-like potassium channel subunits and, with respect to humans, is most similar to the KCNQ1 channel protein which when mutated leads to inherited long QT syndrome (OMIM:607542); although loss of KQT-3 activity via large-scale RNAi screens results in no obvious abnormalities, KQT-3 likely functions to regulate cellular excitability as expression of KQT-3 in Xenopus oocytes can produce K+ channel currents that functionally resemble vertebrate M-currents; activity of these KQT-3 channels can be suppressed by coexpression with the human M1 muscarinic receptor and treatment with diacylglycerol analogs, although KQT-3 is less sensitive to each of these treatments than KQT-1; a KQT-3::GFP fusion protein is expressed in the anterior- and posterior-most intestinal cells, the anterior and posterior mechanosensory neurons ALM and PLM, amphid and phasmid neurons, and in some additional head neurons."	Potassium Channel; KQT	kqt-3	WBGene00002235	"KQT-3, isoform a; KQT-3, isoform b; KQT-3, isoform c;"	 View Detail Edit Delete
48	MEC-10	"The mec-10 gene encodes an amiloride-sensitive Na+ channel protein (degenerin) required to sense gentle mechanical stimuli (e.g. touch) along the body wall; it is paralogous to mec-4, which has similar function in vivo."	DEG/ENaC Channels; Subgroup 2	mec-10	WBGene00003174	MEC-10;	 View Detail Edit Delete
49	MGL-1	"mgl-1 encodes a Group II metabotropic glutamate receptor (OMIM:604099, loss-of-function mutations in mice are associated with defects in long-term depression); by homology, MGL-1 is predicted to function as a pre-synaptic G protein-coupled receptor that, in response to glutamate binding, inhibits adenylyl cyclase activity; loss of mgl-1 activity via large-scale RNAi screens indicates that, in C. elegans, MGL-1 is required for normal post-embryonic growth rates; an mgl-1::GFP reporter is expressed in interneurons, motor neurons, and pharyngeal neurons."	Metabotropic Neurotransmitter Receptors; Metabotropic Glutamate Receptor	mgl-1	WBGene00003232	"MGL-1, isoform a; MGL-1, isoform b; MGL-1, isoform c; MGL-1, isoform d;"	 View Detail Edit Delete
50	NDX-6		; 	ndx-6	WBGene00003583	NDX-6;	
51	NMR-1	"nmr-1 encodes an NMDA-type ionotropic glutamate receptor subunit that affects the duration of forward movement which is important during foraging behavior, and also affects osmotic avoidance; the slow kinetics typical of NMDA-dependent currents are likely important for its effect on forward movement."	Ionotropic Glutamate Receptors; NMDA	nmr-1	WBGene00003774	NMR-1;	 View Detail Edit Delete
52	OCR-2	"ocr-2 encodes a TRPV (transient receptor potential channel, vanilloid subfamily) ion channel; OCR-2 activity is required for several types of sensory transduction including olfaction, osmosensation, mechanosensation, and chemosensation; an OCR-2 fusion protein is expressed in sensory cilia and requires the OSM-9 TRPV channel protein for proper localization; likewise, OSM-9 requires OCR-2 for its cilial localization."	Transient Receptor Potential Channel; TRPV	ocr-2	WBGene00003839	"OCR-2, isoform a; OCR-2, isoform b;"	 View Detail Edit Delete
53	OSM-9	osm-9 encodes a TRPV channel homologous to capsaicin receptors; osm-9 is involved in sensory responses to a subset of chemical stimuli and to ASH neuron-mediated osmotic and mechanical stimuli; OSM-9 is also involved in adaptation to volatile odorants and salts; OSM-9 is expressed in a variety of sensory neurons and shows neuron-specific localization to either the cell body or the cilium.	Transient Receptor Potential Channel; TRPV	osm-9	WBGene00003889	OSM-9;	 View Detail Edit Delete
54	SHW-3	n/a	Potassium Channel; Voltage-gated: Shaw/Kv3	shw-3	WBGene00004793	SHW-3;	 View Detail Edit Delete
55	TAX-2	"tax-2 encodes a cyclic nucleotide-gated channel beta subunit orthologous to the human gene ROD PHOTORECEPTOR CNG-CHANNEL BETA SUBUNIT (CNGB1; OMIM:600724), which when mutated leads to disease; TAX-2 activity is required for chemosensation, thermosensation, regulation of dauer larval development, normal axon guidance for some sensory neurons, and regulation of axonal outgrowth and morphology in late larval stages; a tax-2::GFP promoter fusion is expressed in nine pairs of amphid sensory neurons and a TAX-2::GFP fusion protein localizes to developing axons and sensory cilia."	Cyclic Nucleotide-Gated Channel; Alpha subunit	tax-2	WBGene00006525	TAX-2;	 View Detail Edit Delete
56	TRP-2	"trp-2 encodes a transient receptor potential (TRP) channel that, along with trp-1 and spe-41, constitutes one of three C. elegans TRPC family members; trp-2, along with trp-1, controls nicotine-dependent behavior."	Transient Receptor Potential Channel; TRPC	trp-2	WBGene00006615	"TRP-2, isoform a; TRP-2, isoform b;"	 View Detail Edit Delete
57	UNC-105		DEG/ENaC Channels; Subgroup 2	unc-105	WBGene00006832	"UNC-105, isoform a; UNC-105, isoform b; UNC-105, isoform c; UNC-105, isoform d; UNC-105, isoform e; UNC-105, isoform f; UNC-105, isoform g; UNC-105, isoform h;"	 View Detail Edit Delete
58	TAG-180	tag-180 encodes an alpha2/delta subunit of a voltage-gated calcium channel; a tag-180::gfp promoter fusion is expressed in the gut and in a small number of head and tail neurons.	"Calcium Channel; Voltage-gated, alpha2/delta"	tag-180	WBGene00007041	"TAG-180, isoform a; TAG-180, isoform b;"	 View Detail Edit Delete
59	KCNL-1		Potassium Channel; Calcium-activated SK	kcnl-1	WBGene00007176	"KCNL-1, isoform a; KCNL-1, isoform b; KCNL-1, isoform c; KCNL-1, isoform d; KCNL-1, isoform e; KCNL-1, isoform f;"	 View Detail Edit Delete
60	ACD-3		DEG/ENaC Channels; Subgroup 1	acd-3	WBGene00007775	"ACD-3, isoform a; ACD-3, isoform b;"	
61	C32C4.1		; 	C32C4.1	WBGene00007862	"C32C4.1, isoform a; C32C4.1, isoform b; C32C4.1, isoform c; C32C4.1, isoform e; C32C4.1, isoform f; C32C4.1, isoform g; C32C4.1, isoform h; C32C4.1, isoform i;"	 View Detail Edit Delete
62	LGC-41		Ligand-Gated Ion Channel; Diverse	lgc-41	WBGene00008022	"LGC-41, isoform a; LGC-41, isoform b;"	 View Detail Edit Delete
63	KCNL-4		Potassium Channel; Calcium-activated SK	kcnl-4	WBGene00008265	"KCNL-4, isoform a; KCNL-4, isoform b;"	 View Detail Edit Delete
64	ACC-2		Ligand-Gated Ion Channel; ACC	acc-2	WBGene00008280	ACC-2;	 View Detail Edit Delete
65	KCNL-2	"KCNN (potassium K ChaNNel, calcium activated)-Like"	Potassium Channel; Calcium-activated SK	kcnl-2	WBGene00008570	"KCNL-2, isoform a; KCNL-2, isoform b; KCNL-2, isoform c; KCNL-2, isoform d; KCNL-2, isoform e; KCNL-2, isoform f; KCNL-2, isoform g; KCNL-2, isoform h; KCNL-2, isoform i; KCNL-2, isoform k;"	 View Detail Edit Delete
66	SHW-1		Potassium Channel; Voltage-gated: Shaw/Kv3	shw-1	WBGene00008819	"SHW-1, isoform a; SHW-1, isoform b; SHW-1, isoform c; SHW-1, isoform d; SHW-1, isoform e; SHW-1, isoform f; SHW-1, isoform g; SHW-1, isoform h;"	 View Detail Edit Delete
67	DELM-1		DEG/ENaC Channels; Subgroup 1	delm-1	WBGene00009073	DELM-1;	 View Detail Edit Delete
68	LGC-44		Ligand-Gated Ion Channel; Diverse	lgc-44	WBGene00009790	LGC-44;	 View Detail Edit Delete
69	LGC-47		Ligand-Gated Ion Channel; ACC	lgc-47	WBGene00009799	"LGC-47, isoform a; LGC-47, isoform b;"	 View Detail Edit
70	ACC-1		Ligand-Gated Ion Channel; ACC	acc-1	WBGene00010275	"ACC-1, isoform a; ACC-1, isoform b;"	
